@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute aX numeric
@attribute aY numeric
@attribute aZ numeric
@attribute gX numeric
@attribute gY numeric
@attribute gZ numeric
@attribute pitch numeric
@attribute roll numeric
@attribute yaw numeric
@attribute yawing numeric
@attribute pitching numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
137,'2021/03/11 15:16:12:127',5,-0.000219,0.000574,-0.009087,0.000955,0.004328,0.001726,0.015315,-0.046495,2.905408,1,?,?,?,?
138,'2021/03/11 15:16:12:155',5,-0.001074,0.000153,-0.007863,0.002002,0.005558,0.000984,0.015138,-0.046158,2.905447,1,?,?,?,?
139,'2021/03/11 15:16:12:193',5,-0.000025,0.000536,-0.010001,0.000187,0.002608,-0.000405,0.015154,-0.045864,2.905517,1,?,?,?,?
140,'2021/03/11 15:16:12:227',5,-0.002075,0.001214,-0.008222,0.002531,0.008332,0.001495,0.015192,-0.04566,2.905585,1,?,?,?,?
141,'2021/03/11 15:16:12:266',5,0.000498,0.000578,-0.008415,-0.000349,0.000584,0.001536,0.015227,-0.045532,2.90564,1,?,?,?,?
142,'2021/03/11 15:16:12:298',5,-0.002271,-0.000026,-0.009233,0.001017,0.00207,0.000498,0.015218,-0.045403,2.905669,1,?,?,?,?
143,'2021/03/11 15:16:13:015',6,-0.001669,-0.002464,-0.007525,-0.021958,-0.024676,-0.328284,0.014901,-0.045517,2.79689,1,?,?,?,?
144,'2021/03/11 15:16:13:049',6,-0.009832,0.004556,-0.00935,-0.030652,-0.012998,-0.537436,0.014734,-0.045776,2.781788,1,?,?,?,?
145,'2021/03/11 15:16:13:084',6,0.007459,-0.002683,-0.008855,-0.012978,0.007348,-0.329146,0.014667,-0.045642,2.764247,1,?,?,?,?
146,'2021/03/11 15:16:13:119',6,0.038534,0.015874,-0.010638,0.003908,0.012358,0.001128,0.014761,-0.045237,2.760506,1,?,?,?,?
147,'2021/03/11 15:16:13:155',6,0.001594,-0.001068,-0.00651,0.002055,0.002729,0.003999,0.014817,-0.04504,2.760639,1,?,?,?,?
148,'2021/03/11 15:16:13:194',6,0.000912,-0.000016,-0.009244,0.001957,-0.002127,0.013084,0.014984,-0.044694,2.760948,1,?,?,?,?
149,'2021/03/11 15:16:13:228',6,0.004157,-0.040828,-0.009249,0.028058,0.014123,0.524601,0.014928,-0.043803,2.76412,1,?,?,?,?
150,'2021/03/11 15:16:13:266',6,-0.001641,-0.039694,-0.009396,0.044431,-0.023628,1.062914,0.014964,-0.044689,2.798438,1,?,?,?,?
151,'2021/03/11 15:16:13:298',6,0.024444,0.043997,-0.007876,0.033485,0.00087,0.624326,0.014975,-0.045507,2.828367,1,?,?,?,?
152,'2021/03/11 15:16:13:336',6,0.010153,0.016457,-0.009472,0.022718,-0.008647,0.440096,0.014978,-0.046032,2.846855,1,?,?,?,?
153,'2021/03/11 15:16:13:369',6,0.009382,-0.008077,-0.007529,0.028544,0.012423,0.498141,0.015041,-0.046223,2.862525,1,?,?,?,?
